transformer_id,age_years,load_factor,maintenance_score,oil_quality_index,temperature_rise_c,failure_within_1yr,failure_score,predicted_failure,tier
T0404,21.9,0.847,0.511,0.603,60.7,0,0.17,0,high
T0405,5.6,0.353,0.617,0.563,49.6,1,0.63,1,high
T0406,14.3,0.841,0.754,0.678,58.8,0,0.05,0,medium
T0407,25.4,0.589,0.846,0.538,61.4,1,0.66,1,high
T0408,10.2,0.642,0.766,0.619,51.3,0,0.0,0,low
T0409,8.8,0.813,0.589,0.666,58.5,0,0.02,0,medium
T0410,9.6,0.204,0.347,0.586,45.9,0,0.04,0,medium
T0411,13.4,0.622,0.559,0.385,61.8,0,0.12,0,high
T0412,6.8,0.451,0.336,0.474,52.4,0,0.02,0,medium
T0413,8.2,0.707,0.68,0.598,55.4,0,0.01,0,low
T0414,13.6,0.204,0.308,0.496,44.6,0,0.01,0,low
T0415,7.7,0.477,0.572,0.618,46.3,0,0.0,0,low
T0416,4.1,0.541,0.445,0.434,50.6,0,0.02,0,medium
T0417,1.8,0.319,0.749,0.624,53.2,0,0.04,0,medium
T0418,11.5,0.54,0.884,0.767,44.2,0,0.0,0,low
T0419,24.4,0.513,0.639,0.521,60.5,0,0.12,0,high
T0420,14.8,0.617,0.474,0.346,62.7,1,0.71,1,high
T0421,4.3,0.734,0.846,0.839,48.1,0,0.0,0,low
T0422,6.1,0.63,0.658,0.745,55.5,0,0.0,0,low
T0423,8.7,0.787,0.435,0.41,59.6,1,0.74,1,high
T0424,34.0,0.721,0.506,0.59,70.5,1,0.84,1,high
T0425,35.0,0.625,0.496,0.635,73.4,0,0.32,0,high
T0426,32.6,0.608,0.712,0.601,77.2,0,0.11,0,high
T0427,12.3,0.617,0.534,0.495,65.1,0,0.05,0,medium
T0428,35.0,0.423,0.379,0.52,66.2,1,0.9,1,high
T0429,6.3,0.192,0.622,0.388,46.8,0,0.04,0,medium
T0430,8.5,0.709,0.866,0.897,50.8,0,0.01,0,low
T0431,20.4,0.748,0.771,0.52,66.1,0,0.06,0,medium
T0432,13.6,0.76,0.61,0.623,55.4,0,0.07,0,medium
T0433,14.2,0.111,0.704,0.798,47.3,0,0.0,0,low
T0434,4.9,0.365,0.769,0.745,44.6,0,0.0,0,low
T0435,10.7,0.507,0.532,0.56,53.3,0,0.0,0,low
T0436,6.4,0.505,0.59,0.582,44.1,0,0.0,0,low
T0437,3.4,0.797,0.698,0.548,56.0,0,0.02,0,medium
T0438,7.1,0.449,0.838,0.838,35.6,0,0.0,0,low
T0439,13.6,0.337,0.918,0.838,43.6,0,0.01,0,low
T0440,18.2,0.799,0.236,0.515,62.4,1,0.89,1,high
T0441,1.7,0.838,0.448,0.4,59.7,0,0.21,0,high
T0442,11.1,0.487,0.441,0.535,63.1,0,0.04,0,medium
T0443,10.4,0.795,0.807,0.775,58.6,0,0.04,0,medium
T0444,13.2,0.741,0.773,0.724,64.4,0,0.04,0,medium
T0445,4.3,0.208,0.624,0.538,46.7,0,0.0,0,low
T0446,4.4,0.407,0.73,0.776,49.3,0,0.0,0,low
T0447,24.8,0.755,0.706,0.606,75.9,0,0.16,0,high
T0448,5.7,0.776,0.785,0.663,50.9,0,0.01,0,low
T0449,8.2,0.546,0.767,0.756,45.3,0,0.0,0,low
T0450,8.8,0.394,0.863,0.786,49.2,0,0.0,0,low
T0451,6.5,0.359,0.771,0.761,44.1,0,0.0,0,low
T0452,15.6,0.745,0.74,0.7,60.2,0,0.0,0,low
T0453,14.7,0.478,0.685,0.492,55.2,0,0.01,0,low
T0454,10.0,0.79,0.622,0.542,56.7,0,0.04,0,medium
T0455,6.8,0.775,0.646,0.534,65.6,1,0.75,1,high
T0456,9.5,0.779,0.691,0.768,49.5,0,0.03,0,medium
T0457,11.8,0.608,0.841,0.546,60.0,0,0.03,0,medium
T0458,6.1,0.63,0.74,0.719,53.2,0,0.02,0,medium
T0459,16.4,0.811,0.458,0.34,59.7,1,0.79,1,high
T0460,21.4,0.43,0.21,0.302,58.7,1,0.86,1,high
T0461,27.6,0.929,0.572,0.475,71.1,1,0.93,1,high
T0462,26.5,0.891,0.811,0.771,70.5,1,0.74,1,high
T0463,8.8,0.136,0.832,0.734,39.2,0,0.0,0,low
T0464,12.2,0.327,0.591,0.701,47.5,0,0.0,0,low
T0465,9.9,0.57,0.423,0.445,49.2,1,0.8,1,high
T0466,9.9,0.791,0.489,0.523,71.5,0,0.06,0,medium
T0467,9.4,0.312,0.812,0.654,47.1,0,0.0,0,low
T0468,11.2,0.735,0.594,0.719,58.5,0,0.0,0,low
T0469,23.7,0.409,0.72,0.743,53.2,0,0.0,0,low
T0470,13.9,0.61,0.608,0.716,51.6,0,0.02,0,medium
T0471,4.2,0.555,0.399,0.452,62.1,1,0.77,1,high
T0472,20.8,0.38,0.728,0.695,44.8,0,0.0,0,low
T0473,13.0,0.621,0.538,0.677,56.7,0,0.02,0,medium
T0474,15.7,0.467,0.119,0.453,51.5,1,0.73,1,high
T0475,13.7,0.325,0.438,0.573,49.1,0,0.05,0,medium
T0476,14.2,0.166,0.48,0.685,42.6,0,0.01,0,low
T0477,14.6,0.666,0.778,0.795,50.2,0,0.11,0,high
T0478,2.2,0.561,0.42,0.453,51.7,0,0.11,0,high
T0479,15.6,0.607,0.801,0.684,43.6,0,0.05,0,medium
T0480,6.3,0.3,0.394,0.379,48.0,1,0.77,1,high
T0481,7.7,0.546,0.571,0.59,51.5,0,0.0,0,low
T0482,11.2,0.565,0.827,0.736,45.1,0,0.01,0,low
T0483,30.4,0.421,0.691,0.656,69.2,0,0.14,0,high
T0484,4.8,0.859,0.682,0.653,53.1,0,0.01,0,low
T0485,10.9,0.64,0.638,0.639,53.9,0,0.0,0,low
T0486,9.2,0.515,0.578,0.61,48.9,0,0.01,0,low
T0487,20.6,0.618,0.679,0.574,61.2,0,0.07,0,medium
T0488,9.0,0.824,0.579,0.674,64.0,0,0.11,0,high
T0489,13.1,0.811,0.234,0.234,79.9,1,0.91,1,high
T0490,4.8,0.777,0.49,0.675,57.6,0,0.05,0,medium
T0491,22.9,0.285,0.633,0.644,59.9,0,0.02,0,medium
T0492,3.1,0.314,0.653,0.57,53.1,0,0.03,0,medium
T0493,15.4,0.278,0.688,0.598,51.9,0,0.07,0,medium
T0494,13.2,0.637,0.428,0.42,68.2,1,0.78,1,high
T0495,14.6,0.757,0.479,0.571,65.1,1,0.68,1,high
T0496,3.2,0.488,0.628,0.603,48.5,0,0.0,0,low
T0497,8.9,0.439,0.654,0.679,50.5,0,0.0,0,low
T0498,20.0,0.464,0.744,0.551,49.2,0,0.01,0,low
T0499,33.3,0.3,0.658,0.691,61.6,0,0.18,0,high
T0500,10.3,0.9,0.808,0.823,49.5,0,0.05,0,medium
T0501,18.7,0.472,0.319,0.519,50.2,0,0.06,0,medium
T0502,12.3,0.778,0.421,0.594,60.8,0,0.21,0,high
T0503,10.7,0.908,0.61,0.534,57.2,0,0.14,0,high
T0504,8.1,0.851,0.521,0.512,60.4,1,0.71,1,high
T0505,11.2,0.321,0.761,0.797,46.1,0,0.0,0,low
T0506,17.6,0.516,0.367,0.55,59.0,0,0.08,0,medium
T0507,18.6,0.607,0.573,0.398,58.8,1,0.74,1,high
T0508,3.8,0.792,0.751,0.72,57.2,0,0.0,0,low
T0509,7.6,0.564,0.833,0.865,46.9,0,0.0,0,low
T0510,4.6,0.425,0.821,0.803,45.9,0,0.0,0,low
T0511,11.6,0.488,0.407,0.52,48.4,0,0.01,0,low
T0512,8.7,0.132,0.571,0.619,42.1,0,0.0,0,low
T0513,14.2,0.634,0.462,0.572,63.7,0,0.18,0,high
T0514,14.9,0.716,0.516,0.617,64.4,0,0.05,0,medium
T0515,1.1,0.524,0.653,0.505,45.2,0,0.0,0,low
T0516,11.2,0.752,0.817,0.724,53.5,0,0.02,0,medium
T0517,24.0,0.425,0.791,0.714,52.0,0,0.03,0,medium
T0518,7.6,0.76,0.851,0.804,49.5,0,0.0,0,low
T0519,7.4,0.525,0.761,0.817,40.3,0,0.04,0,medium
T0520,21.4,0.416,0.59,0.549,57.4,0,0.0,0,low
T0521,19.2,0.398,0.697,0.743,56.1,0,0.0,0,low
T0522,5.1,0.724,0.512,0.581,50.6,0,0.03,0,medium
T0523,18.0,0.576,0.924,0.758,55.4,1,0.75,1,high
T0524,6.0,0.519,0.644,0.652,48.2,0,0.05,0,medium
T0525,7.3,0.653,0.8,0.802,55.6,0,0.01,0,low
T0526,5.1,0.48,0.85,0.759,42.9,0,0.0,0,low
T0527,3.8,0.564,0.788,0.752,44.3,0,0.0,0,low
T0528,12.1,0.822,0.399,0.572,56.8,0,0.13,0,high
T0529,3.3,0.324,0.535,0.522,40.0,0,0.0,0,low
T0530,12.5,0.356,0.594,0.616,52.9,0,0.01,0,low
T0531,12.2,0.822,0.338,0.503,61.7,1,0.83,1,high
T0532,10.0,0.749,0.53,0.44,60.8,0,0.02,0,medium
T0533,7.9,0.46,0.762,0.608,56.3,0,0.0,0,low
T0534,6.7,0.421,0.705,0.721,53.0,0,0.0,0,low
T0535,4.5,0.4,0.211,0.29,44.1,0,0.11,0,high
T0536,27.7,0.759,0.575,0.669,70.5,1,0.89,1,high
T0537,9.7,0.454,0.819,0.804,48.4,0,0.0,0,low
T0538,9.4,0.39,0.32,0.312,52.3,0,0.09,0,medium
T0539,5.3,0.778,0.608,0.483,59.2,0,0.05,0,medium
T0540,25.9,0.278,0.764,0.783,44.9,0,0.04,0,medium
T0541,7.0,0.53,0.565,0.445,61.2,0,0.07,0,medium
T0542,13.3,0.822,0.587,0.708,61.9,0,0.05,0,medium
T0543,15.1,0.682,0.754,0.707,53.0,0,0.0,0,low
T0544,12.1,0.977,0.874,0.736,58.6,0,0.04,0,medium
T0545,3.2,0.51,0.657,0.534,41.0,0,0.0,0,low
T0546,17.5,0.539,0.389,0.416,59.3,1,0.83,1,high
T0547,7.0,0.483,0.436,0.378,51.6,0,0.09,0,medium
T0548,19.1,0.628,0.399,0.537,55.0,1,0.69,1,high
T0549,10.7,0.599,0.459,0.66,57.6,0,0.06,0,medium
T0550,15.8,0.643,0.825,0.689,63.6,0,0.01,0,low
T0551,24.8,0.394,0.754,0.608,58.5,0,0.01,0,low
T0552,17.0,0.666,0.422,0.399,62.2,1,0.86,1,high
T0553,16.0,0.77,0.792,0.632,63.3,1,0.69,1,high
T0554,18.0,0.585,0.758,0.62,58.4,0,0.04,0,medium
T0555,5.9,0.403,0.461,0.504,43.9,0,0.0,0,low
T0556,19.6,0.863,0.51,0.45,65.4,0,0.19,0,high
T0557,9.1,0.78,0.475,0.631,55.8,0,0.14,0,high
T0558,9.3,0.72,0.967,0.838,53.6,0,0.04,0,medium
T0559,11.9,0.278,0.519,0.437,51.4,0,0.02,0,medium
T0560,8.5,0.6,0.554,0.655,53.6,1,0.61,1,high
T0561,4.9,0.72,0.605,0.574,46.8,0,0.01,0,low
T0562,11.2,0.425,0.725,0.719,52.5,0,0.0,0,low
T0563,9.4,0.397,0.243,0.293,55.1,0,0.2,0,high
T0564,9.1,0.719,0.489,0.472,71.5,0,0.11,0,high
T0565,10.4,0.613,0.737,0.769,50.0,0,0.03,0,medium
T0566,1.3,0.46,0.522,0.569,48.3,0,0.0,0,low
T0567,9.2,0.497,0.416,0.353,70.2,0,0.25,0,high
T0568,26.8,0.245,0.765,0.742,55.1,0,0.09,0,medium
T0569,25.4,0.664,0.876,0.746,62.1,0,0.17,0,high
T0570,11.5,0.944,0.76,0.801,54.3,0,0.01,0,low
T0571,11.2,0.629,0.567,0.643,62.6,0,0.1,0,medium
T0572,0.9,0.67,0.707,0.729,42.4,0,0.0,0,low
T0573,7.3,0.518,0.81,0.669,51.9,1,0.67,1,high
T0574,17.9,0.394,0.338,0.527,53.5,0,0.04,0,medium
T0575,8.3,0.502,0.575,0.429,53.4,0,0.0,0,low
T0576,21.9,0.508,0.595,0.695,50.7,0,0.0,0,low
T0577,21.1,0.794,0.712,0.564,72.7,1,0.74,1,high
T0578,7.2,0.402,0.898,0.714,44.9,0,0.01,0,low
T0579,12.1,0.743,0.532,0.477,55.0,0,0.03,0,medium
T0580,28.1,0.425,0.793,0.77,64.6,0,0.07,0,medium
T0581,3.1,0.696,0.617,0.424,53.0,0,0.07,0,medium
T0582,8.5,0.277,0.673,0.604,48.0,0,0.02,0,medium
T0583,2.8,0.674,0.682,0.461,58.5,0,0.02,0,medium
T0584,5.5,0.468,0.359,0.56,51.9,0,0.02,0,medium
T0585,33.4,0.236,0.531,0.512,51.0,1,0.69,1,high
T0586,8.5,0.379,0.361,0.457,54.7,1,0.63,1,high
T0587,1.7,0.613,0.695,0.683,47.7,0,0.0,0,low
T0588,4.8,0.641,0.786,0.625,50.1,0,0.01,0,low
T0589,2.5,0.224,0.566,0.475,43.3,0,0.0,0,low
T0590,12.5,0.651,0.547,0.654,48.0,0,0.05,0,medium
T0591,15.0,0.491,0.795,0.769,52.9,0,0.02,0,medium
T0592,19.8,0.391,0.644,0.737,46.4,0,0.0,0,low
T0593,17.2,0.391,0.786,0.816,48.8,0,0.01,0,low
T0594,3.3,0.655,0.603,0.597,52.4,0,0.0,0,low
T0595,14.5,0.5,0.773,0.675,58.9,0,0.02,0,medium
T0596,10.1,0.368,0.706,0.803,41.6,0,0.0,0,low
T0597,21.7,0.46,0.506,0.578,66.0,0,0.1,0,medium
T0598,18.5,0.437,0.424,0.582,61.0,0,0.1,0,medium
T0599,35.0,0.459,0.645,0.57,64.7,0,0.3,0,high
T0600,5.2,0.256,0.567,0.566,39.0,0,0.0,0,low
T0601,4.6,0.21,0.536,0.49,37.3,0,0.0,0,low
T0602,7.7,0.406,0.837,0.77,47.0,0,0.0,0,low
T0603,10.4,0.727,0.747,0.6,53.8,0,0.01,0,low
T0604,6.5,0.552,0.755,0.741,54.7,0,0.0,0,low
T0605,5.4,0.623,0.139,0.27,54.7,0,0.11,0,high
T0606,13.8,0.507,0.757,0.715,48.1,0,0.0,0,low
T0607,7.7,0.604,0.561,0.606,54.1,0,0.02,0,medium
T0608,6.3,0.401,0.71,0.598,44.4,0,0.0,0,low
T0609,3.3,0.41,0.26,0.441,49.1,0,0.02,0,medium
T0610,1.0,0.539,0.473,0.411,56.0,0,0.12,0,high
T0611,26.0,0.913,0.618,0.475,73.7,1,0.91,1,high
T0612,25.5,0.329,0.627,0.691,56.7,0,0.03,0,medium
T0613,18.9,0.41,0.572,0.611,56.4,0,0.0,0,low
T0614,16.1,0.472,0.813,0.822,42.8,0,0.0,0,low
T0615,7.1,0.897,0.525,0.679,59.7,0,0.07,0,medium
T0616,16.5,0.55,0.639,0.716,55.9,0,0.0,0,low
T0617,4.3,0.53,0.404,0.471,56.2,0,0.12,0,high
T0618,11.9,0.464,0.696,0.725,53.3,0,0.0,0,low
T0619,5.9,0.118,0.734,0.618,40.0,0,0.0,0,low
T0620,16.6,0.749,0.681,0.721,64.6,0,0.09,0,medium
T0621,29.3,0.268,0.686,0.759,54.4,0,0.11,0,high
T0622,4.8,0.537,0.768,0.664,50.0,0,0.01,0,low
T0623,7.4,0.274,0.644,0.642,43.4,0,0.0,0,low
T0624,11.8,0.733,0.79,0.826,56.6,0,0.04,0,medium
T0625,2.0,0.647,0.505,0.602,48.7,0,0.02,0,medium
T0626,2.7,0.22,0.355,0.497,51.7,0,0.03,0,medium
T0627,28.8,0.381,0.615,0.649,70.1,0,0.13,0,high
T0628,13.9,0.582,0.892,0.804,57.0,0,0.09,0,medium
T0629,6.8,0.136,0.328,0.28,55.7,1,0.65,1,high
T0630,10.9,0.155,0.921,0.655,36.5,0,0.0,0,low
T0631,7.7,0.491,0.451,0.608,43.4,0,0.0,0,low
T0632,12.0,0.672,0.589,0.667,54.4,0,0.03,0,medium
T0633,7.9,0.555,0.513,0.62,52.0,0,0.02,0,medium
T0634,10.3,0.783,0.766,0.809,53.9,0,0.0,0,low
T0635,17.6,0.534,0.747,0.804,45.6,0,0.03,0,medium
T0636,16.8,0.501,0.569,0.682,60.6,0,0.01,0,low
T0637,27.8,0.745,0.831,0.73,76.7,0,0.15,0,high
T0638,14.5,0.283,0.878,0.812,52.8,0,0.01,0,low
T0639,11.4,0.678,0.73,0.612,62.2,0,0.01,0,low
T0640,30.4,0.708,0.579,0.634,69.6,1,0.82,1,high
T0641,9.5,0.513,0.66,0.674,46.6,0,0.0,0,low
T0642,1.2,0.218,0.53,0.396,44.7,0,0.03,0,medium
T0643,19.1,0.127,0.462,0.414,63.3,0,0.13,0,high
T0644,13.4,0.374,0.371,0.311,54.9,0,0.15,0,high
T0645,11.0,0.439,0.518,0.461,51.7,0,0.01,0,low
T0646,19.4,0.518,0.477,0.574,64.2,0,0.05,0,medium
T0647,8.0,0.486,0.751,0.771,53.5,0,0.0,0,low
T0648,1.2,0.382,0.76,0.729,37.8,0,0.0,0,low
T0649,19.7,0.364,0.556,0.502,55.4,0,0.03,0,medium
T0650,6.6,0.284,0.423,0.513,44.5,0,0.01,0,low
T0651,5.0,0.241,0.538,0.419,47.1,0,0.01,0,low
T0652,1.3,0.598,0.967,0.834,50.5,0,0.09,0,medium
T0653,18.6,0.767,0.436,0.518,60.7,0,0.25,0,high
T0654,0.7,0.322,0.771,0.79,44.7,0,0.0,0,low
T0655,24.7,0.7,0.558,0.426,69.0,1,0.88,1,high
T0656,8.6,0.426,0.815,0.798,57.8,0,0.01,0,low
T0657,19.2,0.775,0.284,0.394,69.1,0,0.37,0,high
T0658,14.8,0.715,0.534,0.636,58.7,0,0.03,0,medium
T0659,34.0,0.592,0.744,0.669,70.3,0,0.15,0,high
T0660,14.6,0.267,0.405,0.572,48.6,0,0.03,0,medium
T0661,24.1,0.266,0.602,0.452,49.2,0,0.08,0,medium
T0662,7.2,0.494,0.317,0.475,51.4,0,0.05,0,medium
T0663,2.7,0.302,0.29,0.398,45.8,1,0.6,1,high
T0664,21.2,0.739,0.703,0.712,54.2,0,0.03,0,medium
T0665,2.6,0.438,0.713,0.816,42.1,0,0.0,0,low
T0666,18.5,0.638,0.623,0.637,49.3,0,0.06,0,medium
T0667,4.5,0.61,0.674,0.664,48.4,0,0.01,0,low
T0668,13.6,0.828,0.811,0.819,58.8,1,0.59,1,high
T0669,34.4,0.413,0.667,0.66,64.3,1,0.73,1,high
T0670,17.5,0.538,0.646,0.566,56.1,0,0.0,0,low
T0671,9.5,0.597,0.377,0.408,57.1,1,0.73,1,high
T0672,15.1,0.448,0.628,0.747,47.5,0,0.01,0,low
T0673,7.4,0.499,0.287,0.423,53.9,0,0.07,0,medium
T0674,35.0,0.411,0.443,0.454,68.2,1,0.91,1,high
T0675,6.2,0.618,0.405,0.585,48.3,0,0.08,0,medium
T0676,10.3,0.587,0.275,0.542,56.7,0,0.12,0,high
T0677,16.5,0.617,0.621,0.58,60.3,0,0.03,0,medium
T0678,14.3,0.915,0.662,0.691,61.5,0,0.05,0,medium
T0679,15.5,0.64,0.28,0.511,72.3,1,0.94,1,high
T0680,7.5,0.327,0.496,0.45,48.9,0,0.03,0,medium
T0681,9.2,0.499,0.595,0.575,50.8,0,0.0,0,low
T0682,20.5,0.262,0.394,0.417,54.5,1,0.74,1,high
T0683,19.9,0.413,0.771,0.631,50.8,0,0.01,0,low
T0684,14.6,0.91,0.841,0.871,62.5,0,0.07,0,medium
T0685,26.0,0.647,0.557,0.355,66.0,1,0.91,1,high
T0686,21.1,0.44,0.624,0.737,52.2,0,0.0,0,low
T0687,19.5,0.902,0.591,0.691,62.4,0,0.08,0,medium
T0688,2.5,0.25,0.452,0.384,41.2,0,0.04,0,medium
T0689,14.5,0.513,0.374,0.481,48.5,0,0.05,0,medium
T0690,12.7,0.823,0.193,0.302,64.0,1,0.86,1,high
T0691,28.1,0.778,0.809,0.78,70.3,0,0.11,0,high
T0692,9.9,0.321,0.629,0.748,46.5,0,0.0,0,low
T0693,12.0,0.365,0.92,0.758,55.4,0,0.05,0,medium
T0694,4.4,0.436,0.484,0.582,51.5,0,0.03,0,medium
T0695,5.2,0.461,0.418,0.507,52.8,0,0.03,0,medium
T0696,28.2,0.642,0.657,0.601,75.6,0,0.16,0,high
T0697,15.4,0.349,0.363,0.403,55.2,0,0.12,0,high
T0698,34.5,0.437,0.806,0.784,62.5,0,0.13,0,high
T0699,9.8,0.446,0.66,0.743,48.2,0,0.0,0,low
T0700,3.2,0.612,0.365,0.346,62.9,0,0.15,0,high
T0701,8.7,0.456,0.366,0.52,51.9,0,0.04,0,medium
T0702,7.6,0.449,0.492,0.442,49.3,0,0.05,0,medium
T0703,17.9,0.826,0.503,0.537,68.2,0,0.11,0,high
T0704,17.4,0.261,0.288,0.348,51.9,1,0.74,1,high
T0705,16.0,0.343,0.961,0.968,48.4,0,0.0,0,low
T0706,35.0,0.595,0.354,0.439,74.3,1,0.97,1,high
T0707,25.0,0.311,0.611,0.677,54.8,0,0.01,0,low
T0708,5.6,0.467,0.495,0.664,50.5,0,0.04,0,medium
T0709,21.5,0.656,0.299,0.536,56.2,0,0.15,0,high
T0710,11.4,0.69,0.213,0.483,60.2,1,0.85,1,high
T0711,9.6,0.535,0.839,0.818,46.5,0,0.0,0,low
T0712,27.1,0.605,0.522,0.593,79.2,1,0.79,1,high
T0713,5.3,0.395,0.398,0.529,49.1,0,0.06,0,medium
T0714,20.6,0.504,0.629,0.667,54.4,0,0.0,0,low
T0715,18.5,0.64,0.809,0.672,52.2,0,0.1,0,medium
T0716,5.2,0.668,0.411,0.327,64.5,0,0.17,0,high
T0717,2.4,0.649,0.551,0.679,47.8,0,0.0,0,low
T0718,10.5,0.205,0.736,0.688,40.5,0,0.01,0,low
T0719,23.1,0.59,0.649,0.717,61.6,0,0.23,0,high
T0720,14.4,0.887,0.612,0.673,65.3,1,0.69,1,high
T0721,27.6,0.675,0.838,0.708,67.9,1,0.6,1,high
T0722,13.7,0.292,0.25,0.457,52.5,0,0.08,0,medium
T0723,28.8,0.856,0.384,0.33,77.0,1,0.98,1,high
T0724,7.0,0.621,0.905,0.861,49.5,0,0.01,0,low
T0725,15.9,0.785,0.778,0.765,60.7,0,0.09,0,medium
T0726,8.3,0.379,0.54,0.592,50.8,0,0.02,0,medium
T0727,10.3,0.859,0.595,0.563,66.4,0,0.12,0,high
T0728,12.0,0.561,0.713,0.672,53.7,0,0.01,0,low
T0729,14.4,0.614,0.871,0.655,52.3,0,0.11,0,high
T0730,6.2,0.364,0.644,0.732,43.9,0,0.0,0,low
T0731,15.4,0.472,0.531,0.713,56.6,0,0.0,0,low
T0732,11.5,0.803,0.452,0.526,52.2,0,0.06,0,medium
T0733,3.3,0.734,0.686,0.659,43.4,0,0.04,0,medium
T0734,2.1,0.572,0.37,0.533,54.8,1,0.75,1,high
T0735,23.2,0.521,0.353,0.534,69.4,0,0.18,0,high
T0736,9.9,0.105,0.664,0.482,39.3,0,0.02,0,medium
T0737,3.0,0.396,0.695,0.653,45.3,0,0.0,0,low
T0738,31.8,0.443,0.269,0.456,64.6,0,0.34,0,high
T0739,16.5,0.462,0.751,0.609,53.8,0,0.01,0,low
T0740,14.1,0.461,0.416,0.475,57.6,1,0.74,1,high
T0741,5.8,0.418,0.604,0.56,42.1,0,0.01,0,low
T0742,3.3,0.251,0.313,0.41,40.6,0,0.05,0,medium
T0743,12.7,0.799,0.246,0.305,64.2,0,0.3,0,high
T0744,11.0,0.475,0.604,0.493,53.5,0,0.0,0,low
T0745,4.5,0.352,0.338,0.463,42.5,0,0.02,0,medium
T0746,4.4,0.468,0.238,0.422,55.3,0,0.03,0,medium
T0747,4.2,0.394,0.499,0.576,44.7,0,0.0,0,low
T0748,4.0,0.251,0.649,0.549,42.0,0,0.0,0,low
T0749,6.8,0.247,0.246,0.395,49.8,0,0.08,0,medium
T0750,14.1,0.289,0.869,0.742,46.8,0,0.0,0,low
T0751,15.8,0.414,0.792,0.775,54.8,0,0.0,0,low
T0752,10.9,0.49,0.292,0.371,51.9,0,0.14,0,high
T0753,12.3,0.686,0.675,0.663,49.6,1,0.72,1,high
T0754,16.3,0.555,0.494,0.517,57.2,0,0.03,0,medium
T0755,1.5,0.454,0.459,0.606,46.3,0,0.0,0,low
T0756,13.0,0.439,0.443,0.586,46.7,0,0.01,0,low
T0757,25.8,0.535,0.512,0.611,55.3,0,0.1,0,medium
T0758,9.7,0.365,0.754,0.705,48.1,0,0.0,0,low
T0759,22.6,0.482,0.643,0.469,57.9,0,0.07,0,medium
T0760,9.9,0.739,0.401,0.476,52.3,1,0.83,1,high
T0761,17.1,0.617,0.558,0.678,62.4,0,0.06,0,medium
T0762,13.9,0.563,0.916,0.732,50.4,1,0.72,1,high
T0763,4.1,0.419,0.274,0.485,54.7,0,0.05,0,medium
T0764,5.0,0.594,0.66,0.586,51.7,0,0.0,0,low
T0765,28.8,0.778,0.359,0.371,75.2,1,0.92,1,high
T0766,19.6,0.845,0.715,0.737,62.0,0,0.01,0,low
T0767,10.4,0.693,0.403,0.594,43.5,1,0.72,1,high
T0768,9.4,0.358,0.416,0.479,45.2,0,0.03,0,medium
T0769,5.8,0.616,0.4,0.41,55.0,0,0.19,0,high
T0770,14.8,0.499,0.301,0.471,59.2,0,0.22,0,high
T0771,6.2,0.929,0.942,0.822,46.4,1,0.73,1,high
T0772,8.5,0.596,0.49,0.626,52.7,0,0.11,0,high
T0773,6.8,0.34,0.954,0.851,36.6,0,0.01,0,low
T0774,18.8,0.799,0.649,0.743,62.7,0,0.1,0,medium
T0775,10.0,0.637,0.533,0.605,55.1,0,0.01,0,low
T0776,12.4,0.123,0.652,0.665,47.9,0,0.0,0,low
T0777,4.2,0.649,0.352,0.545,58.3,0,0.07,0,medium
T0778,6.8,0.631,0.526,0.653,54.5,0,0.04,0,medium
T0779,12.6,0.859,0.913,0.866,61.2,0,0.07,0,medium
T0780,2.6,0.301,0.695,0.565,42.2,0,0.01,0,low
T0781,9.5,0.52,0.582,0.628,65.9,0,0.06,0,medium
T0782,11.1,0.402,0.351,0.348,49.2,1,0.69,1,high
T0783,3.7,0.257,0.727,0.762,37.5,0,0.0,0,low
T0784,21.9,0.385,0.722,0.716,59.2,0,0.01,0,low
T0785,14.3,0.76,0.429,0.582,64.6,0,0.22,0,high
T0786,10.0,0.53,0.793,0.558,56.0,0,0.01,0,low
T0787,6.4,0.861,0.648,0.611,61.1,1,0.79,1,high
T0788,2.5,0.249,0.686,0.666,30.6,0,0.0,0,low
T0789,20.8,0.701,0.759,0.807,67.3,0,0.11,0,high
T0790,7.9,0.866,0.769,0.809,54.2,0,0.01,0,low
T0791,3.2,0.379,0.702,0.687,50.1,0,0.0,0,low
T0792,6.2,0.87,0.896,0.908,42.4,0,0.08,0,medium
T0793,15.3,0.459,0.839,0.864,51.0,0,0.03,0,medium
T0794,13.3,0.701,0.583,0.676,54.4,0,0.0,0,low
T0795,4.5,0.748,0.581,0.658,56.2,0,0.02,0,medium
T0796,23.3,0.62,0.799,0.805,60.7,1,0.72,1,high
T0797,3.1,0.249,0.428,0.357,48.8,0,0.12,0,high
T0798,26.4,0.434,0.708,0.778,52.1,1,0.63,1,high
T0799,12.9,0.517,0.622,0.596,54.1,0,0.05,0,medium
T0800,8.3,0.715,0.642,0.77,52.0,0,0.0,0,low
