transformer_id,month_offset,oil_quality_index,temperature_rise_c,load_factor
T0807,0,0.662,60.4,0.489
T0807,1,0.634,58.3,0.495
T0807,2,0.63,59.3,0.451
T0807,3,0.647,57.5,0.463
T0807,4,0.641,58.8,0.425
T0807,5,0.598,55.8,0.475
T0807,6,0.585,55.9,0.464
T0807,7,0.6,54.3,0.437
T0807,8,0.562,55.7,0.462
T0807,9,0.556,49.5,0.435
T0807,10,0.537,53.2,0.405
T0807,11,0.524,53.6,0.398
T0808,0,0.697,53.0,0.85
T0808,1,0.752,52.1,0.847
T0808,2,0.735,52.1,0.827
T0808,3,0.702,51.8,0.853
T0808,4,0.744,51.3,0.884
T0808,5,0.721,52.8,0.846
T0808,6,0.719,54.5,0.871
T0808,7,0.7,54.8,0.801
T0808,8,0.724,51.3,0.863
T0808,9,0.678,55.4,0.847
T0808,10,0.685,51.3,0.875
T0808,11,0.696,51.7,0.812
T0809,0,0.717,72.9,0.718
T0809,1,0.717,69.6,0.711
T0809,2,0.742,70.6,0.747
T0809,3,0.68,67.3,0.741
T0809,4,0.718,69.0,0.785
T0809,5,0.672,67.1,0.781
T0809,6,0.634,63.2,0.818
T0809,7,0.663,61.8,0.834
T0809,8,0.615,61.4,0.86
T0809,9,0.673,62.0,0.855
T0809,10,0.626,60.1,0.942
T0809,11,0.602,60.9,0.925
T0810,0,0.877,63.3,0.446
T0810,1,0.864,63.0,0.503
T0810,2,0.775,60.7,0.426
T0810,3,0.755,60.2,0.434
T0810,4,0.686,62.8,0.418
T0810,5,0.682,62.8,0.417
T0810,6,0.621,64.8,0.415
T0810,7,0.664,61.9,0.406
T0810,8,0.606,61.2,0.378
T0810,9,0.574,61.4,0.445
T0810,10,0.523,58.1,0.431
T0810,11,0.533,58.1,0.378
T0811,0,0.324,73.3,0.622
T0811,1,0.321,67.5,0.616
T0811,2,0.333,67.9,0.63
T0811,3,0.321,65.3,0.641
T0811,4,0.404,67.6,0.654
T0811,5,0.415,67.2,0.67
T0811,6,0.439,66.2,0.68
T0811,7,0.468,66.7,0.687
T0811,8,0.488,65.3,0.677
T0811,9,0.497,65.5,0.735
T0811,10,0.491,61.9,0.662
T0811,11,0.496,64.5,0.696
T0812,0,0.358,76.6,0.912
T0812,1,0.33,76.9,0.917
T0812,2,0.315,77.5,0.878
T0812,3,0.354,74.0,0.88
T0812,4,0.359,77.3,0.884
T0812,5,0.317,75.8,0.853
T0812,6,0.373,73.4,0.873
T0812,7,0.331,74.6,0.849
T0812,8,0.349,73.2,0.827
T0812,9,0.367,74.6,0.784
T0812,10,0.376,73.3,0.82
T0812,11,0.381,72.3,0.827
T0813,0,0.382,56.1,0.4
T0813,1,0.438,59.7,0.347
T0813,2,0.412,57.7,0.409
T0813,3,0.426,58.4,0.377
T0813,4,0.419,52.7,0.364
T0813,5,0.358,52.9,0.402
T0813,6,0.432,53.1,0.37
T0813,7,0.372,52.0,0.353
T0813,8,0.397,54.8,0.377
T0813,9,0.435,54.9,0.341
T0813,10,0.434,52.3,0.306
T0813,11,0.404,53.5,0.328
T0814,0,0.632,70.9,0.414
T0814,1,0.663,70.5,0.435
T0814,2,0.643,67.9,0.415
T0814,3,0.683,65.9,0.443
T0814,4,0.666,64.7,0.432
T0814,5,0.688,64.1,0.444
T0814,6,0.649,64.5,0.464
T0814,7,0.676,64.5,0.435
T0814,8,0.671,63.5,0.467
T0814,9,0.702,60.3,0.514
T0814,10,0.724,61.0,0.5
T0814,11,0.71,59.6,0.515
T0815,0,0.077,62.5,0.423
T0815,1,0.092,64.5,0.406
T0815,2,0.121,62.1,0.439
T0815,3,0.138,59.1,0.436
T0815,4,0.139,62.1,0.419
T0815,5,0.235,60.8,0.431
T0815,6,0.258,58.7,0.419
T0815,7,0.304,59.4,0.415
T0815,8,0.317,57.4,0.388
T0815,9,0.317,51.8,0.424
T0815,10,0.361,53.7,0.421
T0815,11,0.413,52.7,0.425
T0816,0,0.683,65.7,0.319
T0816,1,0.662,65.8,0.298
T0816,2,0.653,65.7,0.249
T0816,3,0.663,64.6,0.309
T0816,4,0.617,62.1,0.259
T0816,5,0.596,61.1,0.336
T0816,6,0.595,58.9,0.277
T0816,7,0.587,60.5,0.323
T0816,8,0.573,60.6,0.307
T0816,9,0.577,59.9,0.337
T0816,10,0.554,57.7,0.342
T0816,11,0.549,56.9,0.322
T0817,0,0.41,68.9,0.743
T0817,1,0.402,66.0,0.8
T0817,2,0.46,66.2,0.789
T0817,3,0.453,67.9,0.794
T0817,4,0.48,71.9,0.78
T0817,5,0.464,68.8,0.804
T0817,6,0.53,71.1,0.877
T0817,7,0.487,71.4,0.847
T0817,8,0.561,70.5,0.831
T0817,9,0.564,70.7,0.824
T0817,10,0.566,72.1,0.88
T0817,11,0.596,70.9,0.878
T0818,0,0.542,52.6,0.111
T0818,1,0.555,51.0,0.129
T0818,2,0.564,52.2,0.106
T0818,3,0.553,52.0,0.101
T0818,4,0.58,52.4,0.108
T0818,5,0.596,51.9,0.105
T0818,6,0.6,51.8,0.102
T0818,7,0.603,49.7,0.132
T0818,8,0.64,50.2,0.11
T0818,9,0.639,50.6,0.115
T0818,10,0.655,48.6,0.124
T0818,11,0.62,48.7,0.13
T0819,0,0.647,70.5,0.816
T0819,1,0.643,69.8,0.818
T0819,2,0.666,68.9,0.821
T0819,3,0.696,72.2,0.815
T0819,4,0.667,68.4,0.848
T0819,5,0.689,69.8,0.822
T0819,6,0.726,71.6,0.838
T0819,7,0.725,71.6,0.855
T0819,8,0.739,70.2,0.874
T0819,9,0.72,70.6,0.87
T0819,10,0.731,71.7,0.803
T0819,11,0.725,70.1,0.889
T0820,0,0.695,64.5,1.0
T0820,1,0.692,64.9,1.0
T0820,2,0.65,63.3,0.996
T0820,3,0.665,63.2,0.941
T0820,4,0.655,64.9,0.916
T0820,5,0.617,61.4,0.933
T0820,6,0.63,63.1,0.893
T0820,7,0.554,61.3,0.862
T0820,8,0.566,56.1,0.858
T0820,9,0.558,60.1,0.821
T0820,10,0.496,58.6,0.821
T0820,11,0.506,58.7,0.751
T0821,0,0.728,56.1,0.261
T0821,1,0.744,57.1,0.295
T0821,2,0.744,56.5,0.301
T0821,3,0.757,55.6,0.278
T0821,4,0.791,58.3,0.25
T0821,5,0.763,54.9,0.306
T0821,6,0.766,53.2,0.272
T0821,7,0.78,51.3,0.246
T0821,8,0.827,51.6,0.279
T0821,9,0.814,51.9,0.262
T0821,10,0.81,50.0,0.26
T0821,11,0.861,47.9,0.24
T0822,0,0.794,41.7,0.494
T0822,1,0.774,41.4,0.499
T0822,2,0.815,43.3,0.522
T0822,3,0.77,46.1,0.534
T0822,4,0.788,45.1,0.507
T0822,5,0.772,48.7,0.546
T0822,6,0.8,49.6,0.536
T0822,7,0.741,53.6,0.525
T0822,8,0.733,50.3,0.548
T0822,9,0.739,53.0,0.555
T0822,10,0.71,56.9,0.546
T0822,11,0.755,57.3,0.537
T0823,0,0.403,70.1,0.3
T0823,1,0.385,67.7,0.296
T0823,2,0.414,68.7,0.322
T0823,3,0.439,64.8,0.314
T0823,4,0.436,66.2,0.302
T0823,5,0.5,62.3,0.355
T0823,6,0.493,60.1,0.325
T0823,7,0.49,62.6,0.33
T0823,8,0.492,59.6,0.303
T0823,9,0.515,57.1,0.345
T0823,10,0.568,57.0,0.359
T0823,11,0.566,54.7,0.358
T0824,0,0.39,67.0,0.494
T0824,1,0.413,70.0,0.566
T0824,2,0.405,70.4,0.555
T0824,3,0.404,65.7,0.536
T0824,4,0.439,66.1,0.567
T0824,5,0.424,66.8,0.57
T0824,6,0.404,64.4,0.618
T0824,7,0.399,63.9,0.631
T0824,8,0.414,63.8,0.64
T0824,9,0.402,62.8,0.61
T0824,10,0.411,57.8,0.657
T0824,11,0.396,60.8,0.672
T0825,0,0.16,69.7,0.846
T0825,1,0.181,68.9,0.841
T0825,2,0.197,68.1,0.833
T0825,3,0.204,70.7,0.883
T0825,4,0.234,71.8,0.859
T0825,5,0.246,66.8,0.878
T0825,6,0.28,69.3,0.883
T0825,7,0.278,70.0,0.886
T0825,8,0.314,69.7,0.887
T0825,9,0.282,66.7,0.884
T0825,10,0.304,66.4,0.932
T0825,11,0.389,67.4,0.936
T0826,0,0.319,54.1,0.266
T0826,1,0.301,53.7,0.263
T0826,2,0.336,55.5,0.306
T0826,3,0.369,52.8,0.338
T0826,4,0.389,50.3,0.349
T0826,5,0.399,50.3,0.365
T0826,6,0.438,50.5,0.373
T0826,7,0.43,53.0,0.354
T0826,8,0.503,52.1,0.393
T0826,9,0.5,52.6,0.402
T0826,10,0.497,52.8,0.374
T0826,11,0.548,51.8,0.418
T0827,0,0.678,53.6,0.488
T0827,1,0.674,49.4,0.518
T0827,2,0.697,49.5,0.551
T0827,3,0.677,55.3,0.544
T0827,4,0.678,51.0,0.601
T0827,5,0.66,51.7,0.561
T0827,6,0.681,49.8,0.627
T0827,7,0.689,50.8,0.629
T0827,8,0.705,49.4,0.63
T0827,9,0.693,51.1,0.665
T0827,10,0.681,48.9,0.709
T0827,11,0.656,49.3,0.747
T0828,0,0.7,47.9,0.608
T0828,1,0.69,47.4,0.549
T0828,2,0.727,46.7,0.613
T0828,3,0.721,49.8,0.612
T0828,4,0.684,47.3,0.602
T0828,5,0.717,47.2,0.584
T0828,6,0.717,46.8,0.593
T0828,7,0.724,45.2,0.593
T0828,8,0.681,45.8,0.604
T0828,9,0.685,44.7,0.557
T0828,10,0.691,43.4,0.54
T0828,11,0.672,44.4,0.563
T0829,0,0.898,53.3,0.521
T0829,1,0.934,56.8,0.434
T0829,2,0.883,55.7,0.44
T0829,3,0.811,55.2,0.455
T0829,4,0.807,55.3,0.434
T0829,5,0.806,55.9,0.435
T0829,6,0.799,54.1,0.426
T0829,7,0.78,54.3,0.418
T0829,8,0.747,56.6,0.41
T0829,9,0.731,57.7,0.365
T0829,10,0.693,53.2,0.415
T0829,11,0.641,56.9,0.429
T0830,0,0.349,60.7,0.231
T0830,1,0.379,60.7,0.244
T0830,2,0.347,61.0,0.245
T0830,3,0.376,61.1,0.265
T0830,4,0.35,66.1,0.316
T0830,5,0.364,64.2,0.318
T0830,6,0.342,69.8,0.338
T0830,7,0.34,68.3,0.329
T0830,8,0.397,71.5,0.348
T0830,9,0.367,70.6,0.351
T0830,10,0.385,73.8,0.385
T0830,11,0.367,77.6,0.398
T0831,0,0.547,70.8,0.751
T0831,1,0.566,72.1,0.734
T0831,2,0.56,70.0,0.757
T0831,3,0.582,73.2,0.737
T0831,4,0.594,73.2,0.732
T0831,5,0.613,72.1,0.729
T0831,6,0.617,71.1,0.728
T0831,7,0.614,72.6,0.696
T0831,8,0.648,71.7,0.712
T0831,9,0.608,74.8,0.705
T0831,10,0.67,70.7,0.734
T0831,11,0.678,67.8,0.681
T0832,0,0.643,67.0,0.806
T0832,1,0.664,65.3,0.807
T0832,2,0.669,63.8,0.859
T0832,3,0.697,65.0,0.808
T0832,4,0.712,61.8,0.836
T0832,5,0.72,62.2,0.857
T0832,6,0.731,62.3,0.841
T0832,7,0.732,61.7,0.865
T0832,8,0.766,60.1,0.883
T0832,9,0.789,60.2,0.856
T0832,10,0.787,61.5,0.839
T0832,11,0.818,58.6,0.888
T0833,0,0.879,52.2,0.153
T0833,1,0.87,53.1,0.188
T0833,2,0.797,53.0,0.176
T0833,3,0.825,52.5,0.183
T0833,4,0.75,50.9,0.182
T0833,5,0.751,49.7,0.184
T0833,6,0.711,47.7,0.212
T0833,7,0.665,47.4,0.254
T0833,8,0.688,46.0,0.216
T0833,9,0.651,42.9,0.235
T0833,10,0.641,45.3,0.262
T0833,11,0.574,45.5,0.228
T0834,0,0.596,83.4,0.845
T0834,1,0.597,82.1,0.822
T0834,2,0.629,80.5,0.833
T0834,3,0.592,80.0,0.809
T0834,4,0.61,76.1,0.777
T0834,5,0.666,71.8,0.797
T0834,6,0.661,72.1,0.772
T0834,7,0.674,70.5,0.789
T0834,8,0.663,69.2,0.695
T0834,9,0.675,66.8,0.711
T0834,10,0.698,67.7,0.723
T0834,11,0.69,63.2,0.701
T0835,0,0.359,56.3,0.319
T0835,1,0.35,57.7,0.278
T0835,2,0.325,56.7,0.276
T0835,3,0.331,55.4,0.261
T0835,4,0.311,57.6,0.297
T0835,5,0.362,59.0,0.287
T0835,6,0.343,58.5,0.259
T0835,7,0.289,58.5,0.262
T0835,8,0.301,57.4,0.249
T0835,9,0.316,59.5,0.255
T0835,10,0.316,59.0,0.314
T0835,11,0.294,60.0,0.314
T0836,0,0.545,66.1,0.558
T0836,1,0.516,66.0,0.562
T0836,2,0.485,64.0,0.541
T0836,3,0.486,66.8,0.556
T0836,4,0.473,62.7,0.583
T0836,5,0.465,62.8,0.561
T0836,6,0.48,62.4,0.523
T0836,7,0.46,62.2,0.567
T0836,8,0.448,60.4,0.529
T0836,9,0.427,59.5,0.553
T0836,10,0.415,58.4,0.545
T0836,11,0.425,59.8,0.512
T0837,0,0.429,46.3,0.342
T0837,1,0.451,47.5,0.315
T0837,2,0.47,48.4,0.313
T0837,3,0.419,49.0,0.327
T0837,4,0.453,47.0,0.315
T0837,5,0.461,47.4,0.353
T0837,6,0.485,47.2,0.359
T0837,7,0.436,48.3,0.379
T0837,8,0.473,45.5,0.379
T0837,9,0.481,44.9,0.399
T0837,10,0.492,43.6,0.387
T0837,11,0.471,43.4,0.375
T0838,0,0.725,59.8,0.838
T0838,1,0.782,58.5,0.829
T0838,2,0.762,57.5,0.834
T0838,3,0.808,57.5,0.865
T0838,4,0.773,59.0,0.89
T0838,5,0.81,56.3,0.908
T0838,6,0.788,59.1,0.875
T0838,7,0.803,55.0,0.932
T0838,8,0.821,59.8,0.954
T0838,9,0.822,59.2,0.937
T0838,10,0.848,55.5,0.966
T0838,11,0.863,57.9,0.939
T0839,0,0.414,40.0,0.56
T0839,1,0.424,40.2,0.521
T0839,2,0.414,39.6,0.503
T0839,3,0.47,39.0,0.495
T0839,4,0.497,42.8,0.498
T0839,5,0.507,41.7,0.477
T0839,6,0.557,40.7,0.463
T0839,7,0.535,40.6,0.458
T0839,8,0.564,43.1,0.414
T0839,9,0.595,45.0,0.391
T0839,10,0.633,41.8,0.433
T0839,11,0.664,42.7,0.358
T0840,0,0.8,55.7,0.72
T0840,1,0.741,52.6,0.709
T0840,2,0.739,54.3,0.704
T0840,3,0.768,54.4,0.705
T0840,4,0.771,53.1,0.714
T0840,5,0.807,55.3,0.728
T0840,6,0.756,56.3,0.718
T0840,7,0.725,54.7,0.71
T0840,8,0.775,56.4,0.683
T0840,9,0.732,56.7,0.701
T0840,10,0.777,54.5,0.762
T0840,11,0.767,57.2,0.734
T0841,0,0.671,81.8,0.919
T0841,1,0.649,81.7,0.911
T0841,2,0.617,79.9,0.932
T0841,3,0.605,80.1,0.881
T0841,4,0.57,80.4,0.951
T0841,5,0.529,73.6,0.918
T0841,6,0.525,77.8,0.925
T0841,7,0.523,72.1,0.937
T0841,8,0.436,72.1,0.922
T0841,9,0.412,70.5,0.935
T0841,10,0.39,72.3,0.878
T0841,11,0.372,68.2,0.909
T0842,0,0.418,67.1,0.731
T0842,1,0.426,67.1,0.74
T0842,2,0.449,63.9,0.767
T0842,3,0.437,66.5,0.774
T0842,4,0.476,65.4,0.833
T0842,5,0.475,65.8,0.79
T0842,6,0.464,68.1,0.811
T0842,7,0.477,66.1,0.814
T0842,8,0.483,67.4,0.822
T0842,9,0.523,69.1,0.856
T0842,10,0.505,70.4,0.889
T0842,11,0.506,68.6,0.869
T0843,0,0.91,39.9,1.0
T0843,1,0.861,39.3,0.98
T0843,2,0.889,44.4,0.934
T0843,3,0.865,44.8,0.939
T0843,4,0.876,45.1,0.948
T0843,5,0.842,49.8,0.94
T0843,6,0.819,48.3,0.916
T0843,7,0.795,51.6,0.892
T0843,8,0.819,51.6,0.918
T0843,9,0.751,50.6,0.87
T0843,10,0.803,51.7,0.852
T0843,11,0.755,55.3,0.837
T0844,0,0.525,35.7,0.733
T0844,1,0.52,38.0,0.729
T0844,2,0.546,36.8,0.756
T0844,3,0.53,39.0,0.775
T0844,4,0.562,42.6,0.751
T0844,5,0.602,43.3,0.719
T0844,6,0.578,44.1,0.775
T0844,7,0.594,46.7,0.724
T0844,8,0.612,47.5,0.76
T0844,9,0.624,44.5,0.748
T0844,10,0.622,51.3,0.749
T0844,11,0.607,49.8,0.792
T0845,0,0.839,55.0,0.812
T0845,1,0.86,55.8,0.766
T0845,2,0.817,53.3,0.796
T0845,3,0.789,56.1,0.802
T0845,4,0.783,55.9,0.75
T0845,5,0.788,53.1,0.759
T0845,6,0.795,51.4,0.777
T0845,7,0.752,49.6,0.739
T0845,8,0.76,49.0,0.734
T0845,9,0.728,50.3,0.717
T0845,10,0.754,48.5,0.677
T0845,11,0.712,46.0,0.669
T0846,0,0.642,53.1,0.584
T0846,1,0.701,51.8,0.591
T0846,2,0.663,52.9,0.601
T0846,3,0.693,54.7,0.611
T0846,4,0.636,51.6,0.564
T0846,5,0.695,56.0,0.615
T0846,6,0.726,55.6,0.633
T0846,7,0.666,57.0,0.653
T0846,8,0.724,55.7,0.608
T0846,9,0.636,56.0,0.634
T0846,10,0.688,59.5,0.678
T0846,11,0.7,60.6,0.641
T0847,0,0.861,59.5,0.843
T0847,1,0.779,58.9,0.886
T0847,2,0.787,59.9,0.83
T0847,3,0.795,60.4,0.832
T0847,4,0.737,55.2,0.779
T0847,5,0.701,58.2,0.783
T0847,6,0.713,55.9,0.756
T0847,7,0.73,61.2,0.751
T0847,8,0.672,57.4,0.724
T0847,9,0.641,54.9,0.697
T0847,10,0.586,56.5,0.708
T0847,11,0.588,56.0,0.665
T0848,0,0.557,43.8,0.3
T0848,1,0.565,43.0,0.269
T0848,2,0.535,46.0,0.336
T0848,3,0.547,43.9,0.302
T0848,4,0.476,44.2,0.334
T0848,5,0.546,45.4,0.346
T0848,6,0.483,46.9,0.289
T0848,7,0.465,48.8,0.302
T0848,8,0.458,47.0,0.362
T0848,9,0.495,48.5,0.373
T0848,10,0.454,47.8,0.353
T0848,11,0.435,49.7,0.368
T0849,0,0.63,54.3,0.145
T0849,1,0.631,55.7,0.232
T0849,2,0.665,49.2,0.166
T0849,3,0.699,51.5,0.218
T0849,4,0.648,51.1,0.215
T0849,5,0.645,49.7,0.186
T0849,6,0.695,48.0,0.181
T0849,7,0.65,46.6,0.219
T0849,8,0.681,41.9,0.148
T0849,9,0.707,41.4,0.132
T0849,10,0.679,38.2,0.199
T0849,11,0.673,38.6,0.168
T0850,0,0.925,60.4,0.66
T0850,1,0.884,60.4,0.724
T0850,2,0.899,60.5,0.728
T0850,3,0.827,60.4,0.718
T0850,4,0.824,61.2,0.726
T0850,5,0.765,60.8,0.786
T0850,6,0.74,59.9,0.792
T0850,7,0.694,63.4,0.807
T0850,8,0.692,61.8,0.814
T0850,9,0.648,61.5,0.811
T0850,10,0.61,60.5,0.861
T0850,11,0.586,61.4,0.849
T0851,0,0.271,60.8,0.533
T0851,1,0.337,60.5,0.528
T0851,2,0.289,63.6,0.53
T0851,3,0.35,62.2,0.534
T0851,4,0.345,61.1,0.552
T0851,5,0.349,61.0,0.513
T0851,6,0.401,59.3,0.553
T0851,7,0.352,65.1,0.574
T0851,8,0.385,61.5,0.58
T0851,9,0.367,61.4,0.543
T0851,10,0.396,62.8,0.59
T0851,11,0.364,60.2,0.578
T0852,0,0.329,62.3,0.634
T0852,1,0.418,63.5,0.679
T0852,2,0.388,63.2,0.68
T0852,3,0.429,62.2,0.689
T0852,4,0.441,62.9,0.699
T0852,5,0.498,62.9,0.694
T0852,6,0.537,64.4,0.747
T0852,7,0.571,63.6,0.734
T0852,8,0.603,62.3,0.756
T0852,9,0.565,63.9,0.74
T0852,10,0.629,61.8,0.746
T0852,11,0.653,64.5,0.786
T0853,0,0.826,59.3,0.665
T0853,1,0.803,56.1,0.668
T0853,2,0.818,55.8,0.689
T0853,3,0.846,57.5,0.653
T0853,4,0.851,55.1,0.625
T0853,5,0.85,54.7,0.647
T0853,6,0.838,54.6,0.664
T0853,7,0.82,54.0,0.672
T0853,8,0.846,53.9,0.736
T0853,9,0.839,49.8,0.686
T0853,10,0.877,50.9,0.708
T0853,11,0.862,52.2,0.735
T0854,0,0.667,45.3,0.588
T0854,1,0.649,41.2,0.593
T0854,2,0.672,44.8,0.584
T0854,3,0.686,43.3,0.523
T0854,4,0.672,47.8,0.531
T0854,5,0.673,43.3,0.571
T0854,6,0.708,45.5,0.54
T0854,7,0.751,44.5,0.516
T0854,8,0.727,46.8,0.554
T0854,9,0.749,47.1,0.487
T0854,10,0.774,48.4,0.438
T0854,11,0.813,46.7,0.473
T0855,0,0.719,67.0,0.592
T0855,1,0.735,63.9,0.602
T0855,2,0.714,61.0,0.618
T0855,3,0.727,60.1,0.607
T0855,4,0.746,59.2,0.59
T0855,5,0.701,55.8,0.605
T0855,6,0.739,54.2,0.643
T0855,7,0.74,55.8,0.6
T0855,8,0.691,50.4,0.643
T0855,9,0.7,49.1,0.616
T0855,10,0.695,50.4,0.636
T0855,11,0.73,43.8,0.617
T0856,0,0.67,43.0,0.389
T0856,1,0.629,43.6,0.381
T0856,2,0.663,43.8,0.382
T0856,3,0.685,44.1,0.342
T0856,4,0.696,41.8,0.327
T0856,5,0.684,45.9,0.353
T0856,6,0.687,47.3,0.295
T0856,7,0.705,49.0,0.32
T0856,8,0.744,49.4,0.259
T0856,9,0.715,47.9,0.295
T0856,10,0.701,49.5,0.265
T0856,11,0.751,51.4,0.203
T0857,0,0.338,60.8,0.81
T0857,1,0.359,64.9,0.798
T0857,2,0.365,59.7,0.81
T0857,3,0.35,59.5,0.801
T0857,4,0.375,60.5,0.785
T0857,5,0.333,60.8,0.775
T0857,6,0.35,60.4,0.796
T0857,7,0.385,58.1,0.794
T0857,8,0.346,61.3,0.759
T0857,9,0.353,60.3,0.805
T0857,10,0.39,61.5,0.762
T0857,11,0.358,59.5,0.807
T0858,0,0.366,70.9,0.715
T0858,1,0.344,67.7,0.72
T0858,2,0.353,68.0,0.746
T0858,3,0.358,68.5,0.712
T0858,4,0.346,65.9,0.775
T0858,5,0.37,71.6,0.693
T0858,6,0.333,68.7,0.704
T0858,7,0.337,70.2,0.703
T0858,8,0.373,67.5,0.731
T0858,9,0.374,67.7,0.724
T0858,10,0.368,70.6,0.757
T0858,11,0.359,68.0,0.712
T0859,0,0.505,57.2,0.738
T0859,1,0.558,55.4,0.698
T0859,2,0.544,55.1,0.688
T0859,3,0.543,52.3,0.712
T0859,4,0.567,57.6,0.67
T0859,5,0.569,55.5,0.657
T0859,6,0.567,58.0,0.654
T0859,7,0.56,57.0,0.641
T0859,8,0.54,60.1,0.647
T0859,9,0.56,56.7,0.632
T0859,10,0.56,57.6,0.636
T0859,11,0.573,55.8,0.624
T0860,0,0.254,51.4,0.608
T0860,1,0.279,52.0,0.539
T0860,2,0.291,54.5,0.565
T0860,3,0.27,52.9,0.539
T0860,4,0.349,55.5,0.533
T0860,5,0.298,54.1,0.547
T0860,6,0.34,55.0,0.501
T0860,7,0.344,56.1,0.509
T0860,8,0.368,59.0,0.514
T0860,9,0.37,57.5,0.502
T0860,10,0.39,58.3,0.469
T0860,11,0.376,59.3,0.457
T0861,0,0.653,63.9,0.715
T0861,1,0.691,62.8,0.684
T0861,2,0.652,59.2,0.669
T0861,3,0.622,57.4,0.66
T0861,4,0.67,60.2,0.662
T0861,5,0.665,57.6,0.652
T0861,6,0.631,58.4,0.648
T0861,7,0.652,58.4,0.603
T0861,8,0.655,56.0,0.562
T0861,9,0.666,53.8,0.599
T0861,10,0.677,53.2,0.561
T0861,11,0.694,49.0,0.543
T0862,0,0.733,44.4,0.364
T0862,1,0.714,44.7,0.357
T0862,2,0.689,44.1,0.356
T0862,3,0.695,46.7,0.336
T0862,4,0.712,50.2,0.319
T0862,5,0.739,48.1,0.343
T0862,6,0.693,49.7,0.337
T0862,7,0.623,50.9,0.309
T0862,8,0.686,53.2,0.313
T0862,9,0.653,51.5,0.279
T0862,10,0.665,52.5,0.282
T0862,11,0.648,54.6,0.326
T0863,0,0.24,69.1,0.908
T0863,1,0.274,70.3,0.892
T0863,2,0.258,71.3,0.889
T0863,3,0.306,69.5,0.914
T0863,4,0.339,70.7,0.875
T0863,5,0.323,69.9,0.906
T0863,6,0.286,72.0,0.915
T0863,7,0.299,75.9,0.878
T0863,8,0.317,73.7,0.854
T0863,9,0.302,72.2,0.848
T0863,10,0.344,72.4,0.859
T0863,11,0.304,76.8,0.851
T0864,0,0.483,73.4,0.884
T0864,1,0.491,73.3,0.872
T0864,2,0.497,75.0,0.904
T0864,3,0.478,72.6,0.937
T0864,4,0.474,74.1,0.92
T0864,5,0.52,73.3,0.888
T0864,6,0.498,72.9,0.942
T0864,7,0.533,71.8,0.984
T0864,8,0.539,75.0,0.939
T0864,9,0.519,73.7,0.933
T0864,10,0.526,75.9,0.975
T0864,11,0.538,74.4,0.969
T0865,0,0.7,47.6,0.561
T0865,1,0.683,49.9,0.552
T0865,2,0.695,48.8,0.605
T0865,3,0.731,47.1,0.528
T0865,4,0.676,50.6,0.608
T0865,5,0.674,53.7,0.584
T0865,6,0.682,49.9,0.574
T0865,7,0.679,49.2,0.59
T0865,8,0.707,50.1,0.565
T0865,9,0.641,52.8,0.624
T0865,10,0.657,51.1,0.636
T0865,11,0.666,51.4,0.589
T0866,0,0.416,45.1,0.569
T0866,1,0.464,46.9,0.601
T0866,2,0.468,45.6,0.609
T0866,3,0.48,48.1,0.611
T0866,4,0.502,48.2,0.562
T0866,5,0.505,50.8,0.581
T0866,6,0.565,52.1,0.562
T0866,7,0.565,55.2,0.571
T0866,8,0.566,51.9,0.597
T0866,9,0.576,53.9,0.551
T0866,10,0.639,56.4,0.541
T0866,11,0.654,56.4,0.537
T0867,0,0.462,48.3,0.513
T0867,1,0.472,49.0,0.505
T0867,2,0.479,51.7,0.542
T0867,3,0.511,48.4,0.546
T0867,4,0.49,49.0,0.549
T0867,5,0.5,52.6,0.601
T0867,6,0.526,51.0,0.609
T0867,7,0.582,51.9,0.659
T0867,8,0.548,52.8,0.652
T0867,9,0.583,51.4,0.662
T0867,10,0.567,53.5,0.669
T0867,11,0.607,52.0,0.706
T0868,0,0.497,56.7,0.772
T0868,1,0.465,56.2,0.745
T0868,2,0.457,58.0,0.744
T0868,3,0.453,61.1,0.76
T0868,4,0.431,60.5,0.758
T0868,5,0.473,63.1,0.752
T0868,6,0.444,62.9,0.757
T0868,7,0.375,65.1,0.794
T0868,8,0.41,63.7,0.786
T0868,9,0.414,66.3,0.774
T0868,10,0.39,65.8,0.779
T0868,11,0.39,66.4,0.766
T0869,0,0.556,57.5,0.2
T0869,1,0.607,60.1,0.182
T0869,2,0.599,56.8,0.181
T0869,3,0.607,56.2,0.196
T0869,4,0.576,56.8,0.207
T0869,5,0.605,54.5,0.224
T0869,6,0.574,53.4,0.18
T0869,7,0.581,54.2,0.132
T0869,8,0.609,54.8,0.194
T0869,9,0.634,54.7,0.19
T0869,10,0.603,51.5,0.219
T0869,11,0.677,50.0,0.179
T0870,0,0.617,49.7,0.531
T0870,1,0.646,52.5,0.52
T0870,2,0.633,54.7,0.53
T0870,3,0.659,52.8,0.574
T0870,4,0.665,54.4,0.559
T0870,5,0.665,50.1,0.51
T0870,6,0.647,54.2,0.529
T0870,7,0.66,54.4,0.563
T0870,8,0.657,57.5,0.551
T0870,9,0.699,56.2,0.568
T0870,10,0.668,56.1,0.524
T0870,11,0.653,57.4,0.586
T0871,0,0.668,69.3,0.753
T0871,1,0.619,72.4,0.735
T0871,2,0.572,70.4,0.765
T0871,3,0.54,67.7,0.736
T0871,4,0.492,67.5,0.751
T0871,5,0.473,68.1,0.707
T0871,6,0.425,69.4,0.769
